Date,Open_VTR,High_VTR,Low_VTR,Close_VTR,Volume_VTR,AdjClose_VTR
2015-10-15,56.080002,56.34,55.459999,55.990002,2727200,53.967603
2015-10-16,56.169998,57.130001,56.16,56.970001,2619400,54.912204
2015-10-19,56.970001,58.049999,56.880001,58.029999,1955400,55.933914
2015-10-20,57.810001,58.09,57.419998,57.73,1798100,55.644751
2015-10-21,58.09,58.59,57.700001,58.279999,1931700,56.174884
2015-10-22,58.41,58.73,57.869999,58.380001,2273400,56.271274
2015-10-23,58.599998,58.599998,54.880001,55.130001,4255600,53.138666
2015-10-26,54.439999,55.32,53.84,55.080002,3898800,53.090473
2015-10-27,55.0,55.18,54.299999,55.150002,2613400,53.157944
2015-10-28,55.25,55.369999,53.84,54.919998,3348300,52.936249
2015-10-29,54.66,54.990002,54.09,54.880001,2552000,52.897696
2015-10-30,54.93,55.09,53.599998,53.720001,3620300,51.779596
2015-11-02,53.759998,54.5,53.5,54.490002,2437900,52.521784
2015-11-03,54.279999,54.439999,53.32,53.610001,2458600,51.673569
2015-11-04,53.630001,53.869999,53.240002,53.439999,3075700,51.509708
2015-11-05,53.27,54.200001,53.240002,54.189999,2619300,52.232617
2015-11-06,53.419998,53.419998,50.5,50.82,6970900,48.984345
2015-11-09,50.830002,51.0,49.310001,49.77,4156700,47.972273
2015-11-10,49.77,50.580002,49.540001,50.150002,3468000,48.338548
2015-11-11,50.220001,50.400002,49.68,49.880001,2277200,48.0783
2015-11-12,49.790001,50.23,49.540001,49.990002,2476000,48.184327
2015-11-13,50.41,50.560001,49.639999,49.68,2544000,47.885523
2015-11-16,49.689999,50.599998,49.619999,50.52,2154400,48.695182
2015-11-17,50.389999,50.709999,49.959999,50.060001,2203600,48.251798
2015-11-18,50.41,51.18,50.200001,51.099998,2585500,49.25423
2015-11-19,51.23,51.799999,50.959999,51.59,2216700,49.726533
2015-11-20,51.849998,52.790001,51.669998,52.740002,3128300,50.834995
2015-11-23,52.720001,53.549999,52.66,53.360001,3447100,51.432599
2015-11-24,53.150002,53.400002,52.490002,52.790001,2571900,50.883188
2015-11-25,52.790001,53.130001,52.740002,53.0,1357800,51.085602
2015-11-27,53.099998,53.849998,53.009998,53.669998,1136800,51.7314
2015-11-30,53.759998,54.299999,53.16,53.34,5118500,51.413321
2015-12-01,53.68,54.330002,53.630001,53.959999,3773300,52.010925
2015-12-02,53.799999,54.150002,52.849998,52.919998,3263700,51.00849
2015-12-03,53.02,53.189999,51.790001,52.080002,3449600,50.198835
2015-12-04,52.330002,53.369999,52.330002,53.200001,3073200,51.278379
2015-12-07,53.209999,53.91,52.900002,53.82,2847600,51.875983
2015-12-08,53.98,54.32,53.349998,54.02,2647400,52.06876
2015-12-09,53.650002,54.299999,53.23,53.82,1752100,51.875983
2015-12-10,54.0,54.169998,53.43,53.630001,2529200,51.692847
2015-12-11,53.450001,54.400002,53.299999,54.380001,4076200,52.415757
2015-12-14,54.240002,54.650002,53.91,54.43,2980700,52.46395
2015-12-15,54.669998,54.98,54.459999,54.48,2877800,52.512143
2015-12-16,54.709999,55.84,54.360001,55.720001,3827600,53.707355
2015-12-17,55.0,55.189999,54.560001,54.810001,2083500,53.531553
2015-12-18,54.610001,54.610001,53.639999,53.919998,4255700,52.66231
2015-12-21,54.369999,54.75,53.73,54.040001,1986500,52.779513
2015-12-22,54.209999,54.900002,54.07,54.470001,1741500,53.199484
2015-12-23,54.630001,55.459999,54.5,55.400002,1694100,54.107792
2015-12-24,55.43,55.599998,55.130001,55.52,755700,54.224992
2015-12-28,55.599998,56.009998,55.299999,55.860001,1414000,54.557061
2015-12-29,56.119999,56.709999,56.009998,56.509998,1481400,55.191898
2015-12-30,56.490002,56.91,56.360001,56.630001,1329900,55.309101
2015-12-31,56.650002,56.950001,56.259998,56.43,2056200,55.113766
2016-01-04,56.0,56.799999,55.509998,56.740002,2820900,55.416536
2016-01-05,56.799999,58.029999,56.66,57.740002,2014300,56.393211
2016-01-06,57.669998,57.779999,56.73,57.209999,2960300,55.875571
2016-01-07,56.630001,57.080002,56.009998,56.209999,2580500,54.898896
2016-01-08,56.380001,56.84,56.009998,56.259998,3097700,54.947729
2016-01-11,56.48,56.970001,56.419998,56.580002,3295500,55.260268
2016-01-12,56.790001,56.790001,55.419998,55.889999,2178500,54.58636
2016-01-13,56.07,56.669998,54.450001,54.540001,2917100,53.267851
2016-01-14,54.369999,55.07,54.07,54.639999,2795400,53.365517
2016-01-15,53.830002,54.790001,53.599998,54.689999,2527400,53.41435
2016-01-19,55.110001,55.990002,54.990002,55.630001,2556700,54.332427
2016-01-20,55.209999,55.389999,51.509998,52.919998,5098100,51.685635
2016-01-21,53.23,54.630001,52.599998,54.0,2731600,52.740445
2016-01-22,54.779999,56.349998,54.43,55.5,3808700,54.205458
2016-01-25,55.5,55.880001,54.82,54.98,2744300,53.697586
2016-01-26,55.029999,56.119999,55.029999,55.939999,2386300,54.635193
2016-01-27,55.66,55.950001,53.59,53.790001,2824100,52.535345
2016-01-28,54.09,54.73,53.549999,53.790001,2441300,52.535345
2016-01-29,54.450001,55.98,54.07,55.32,4209400,54.029656
2016-02-01,54.860001,55.950001,54.43,55.48,2198400,54.185924
2016-02-02,55.32,55.48,54.330002,54.759998,2921700,53.482717
2016-02-03,55.110001,56.43,54.700001,56.0,2715100,54.693795
2016-02-04,55.790001,56.59,55.169998,56.369999,1645500,55.055164
2016-02-05,56.360001,56.689999,55.68,56.32,2748200,55.006331
2016-02-08,56.32,56.59,52.75,53.709999,4871700,52.457209
2016-02-09,52.950001,53.080002,49.540001,50.080002,5726900,48.911881
2016-02-10,50.240002,51.080002,49.950001,50.0,4127600,48.833746
2016-02-11,49.310001,49.57,47.849998,48.720001,6501600,47.583603
2016-02-12,48.75,49.91,46.869999,48.43,5134600,47.300366
2016-02-16,48.759998,49.860001,47.939999,49.720001,3818000,48.560278
2016-02-17,49.82,50.939999,49.73,50.48,2444700,49.302549
2016-02-18,50.52,51.959999,50.290001,51.599998,2126300,50.396424
2016-02-19,51.43,52.68,50.919998,52.189999,2765900,50.972662
2016-02-22,52.720001,53.259998,52.5,52.990002,1590900,51.754005
2016-02-23,52.990002,54.119999,52.709999,53.41,2183500,52.164207
2016-02-24,53.32,53.98,52.970001,53.849998,1662200,52.593943
2016-02-25,54.049999,55.099998,53.889999,55.080002,2104100,53.795256
2016-02-26,55.080002,55.990002,54.990002,55.389999,2114200,54.098023
2016-02-29,55.470001,56.580002,55.389999,55.669998,2823300,54.371491
2016-03-01,56.470001,57.580002,55.98,57.57,2101200,56.227175
2016-03-02,57.360001,58.470001,57.259998,58.41,2159700,57.047582
2016-03-03,58.18,58.189999,56.27,56.709999,5490400,56.088215
2016-03-04,56.869999,57.07,55.91,56.75,3461500,56.127777
2016-03-07,56.650002,57.490002,56.259998,57.23,2181200,56.602514
2016-03-08,57.540001,57.68,56.23,56.450001,2153500,55.831067
2016-03-09,56.669998,57.57,56.5,56.779999,9920800,56.157447
2016-03-10,57.299999,58.18,56.169998,57.279999,4589200,56.651965
2016-03-11,57.889999,59.82,57.810001,59.779999,11606300,59.124554
2016-03-14,59.68,60.630001,59.57,60.529999,3306900,59.866331
2016-03-15,60.07,60.939999,59.75,60.740002,2646600,60.074032
2016-03-16,60.560001,61.200001,59.709999,61.080002,2188300,60.410304
2016-03-17,61.330002,62.130001,60.709999,62.009998,2391700,61.330104
2016-03-18,62.18,62.189999,61.450001,61.849998,4173500,61.171858
2016-03-21,61.599998,62.240002,61.330002,61.450001,3280900,60.776246
2016-03-22,61.07,61.639999,60.669998,61.549999,2742400,60.875148
2016-03-23,61.549999,61.619999,60.990002,61.189999,2204900,60.519095
2016-03-24,60.27,61.07,59.580002,60.959999,2211600,60.291617
2016-03-28,61.459999,61.98,61.02,61.830002,2134200,61.152081
2016-03-29,61.689999,63.240002,61.389999,63.220001,2435600,62.52684
2016-03-30,63.41,63.41,62.779999,62.959999,2051000,62.269688
2016-03-31,62.810001,63.630001,62.48,62.959999,3148600,62.269688
2016-04-01,62.73,63.369999,62.389999,63.23,2293600,62.536728
2016-04-04,63.439999,63.84,63.18,63.580002,1736100,62.882893
2016-04-05,63.450001,63.689999,63.049999,63.540001,1456600,62.843331
2016-04-06,63.34,63.5,62.029999,62.080002,3516100,61.39934
2016-04-07,62.0,62.610001,61.650002,62.380001,2305300,61.69605
2016-04-08,62.669998,62.950001,62.369999,62.439999,1903300,61.755389
2016-04-11,62.700001,63.110001,62.580002,62.869999,1424000,62.180675
2016-04-12,63.150002,63.5,62.810001,63.259998,1138900,62.566398
2016-04-13,63.57,63.639999,62.84,63.43,1192100,62.734536
2016-04-14,63.360001,63.419998,62.939999,63.209999,1186700,62.516947
2016-04-15,63.349998,63.389999,62.82,63.16,2779100,62.467496
2016-04-18,62.900002,63.73,62.849998,63.73,1682200,63.031246
2016-04-19,63.77,64.360001,63.509998,63.93,1424100,63.229054
2016-04-20,63.93,63.970001,62.299999,62.369999,1871600,61.686157
2016-04-21,62.290001,62.299999,59.43,59.689999,3800200,59.035541
2016-04-22,60.009998,60.73,59.779999,60.490002,2815700,59.826773
2016-04-25,60.400002,61.369999,60.279999,61.369999,1575000,60.697121
2016-04-26,61.610001,62.470001,61.580002,62.189999,1441900,61.50813
2016-04-27,62.169998,62.700001,61.419998,62.509998,2225700,61.824622
2016-04-28,62.029999,62.779999,61.959999,62.259998,1890500,61.577363
2016-04-29,60.439999,62.220001,60.259998,62.119999,3009900,61.438898
2016-05-02,62.459999,63.25,62.32,62.619999,1528000,61.933416
2016-05-03,62.32,63.48,62.200001,63.439999,1837400,62.744425
2016-05-04,63.16,65.980003,63.150002,65.449997,3914100,64.732385
2016-05-05,65.279999,65.860001,65.050003,65.860001,2601400,65.137893
2016-05-06,65.699997,66.199997,65.010002,66.099998,2335300,65.37526
2016-05-09,66.290001,67.0,66.150002,66.660004,2605800,65.929125
2016-05-10,66.879997,66.959999,65.980003,66.900002,2119000,66.166492
2016-05-11,66.629997,66.629997,65.110001,65.610001,1954400,64.890635
2016-05-12,65.730003,66.980003,65.260002,66.720001,1361600,65.988465
2016-05-13,66.43,66.879997,65.910004,66.760002,1926400,66.028027
2016-05-16,66.629997,67.519997,66.559998,67.230003,1799800,66.492875
2016-05-17,67.07,67.099998,65.93,66.370003,1622100,65.642304
2016-05-18,66.089996,66.239998,64.440002,65.379997,2319100,64.663153
2016-05-19,64.709999,64.989998,64.279999,64.910004,1994300,64.198313
2016-05-20,65.300003,65.599998,64.970001,65.290001,2113400,64.574143
2016-05-23,65.5,65.730003,65.169998,65.5,1654900,64.78184
2016-05-24,65.849998,66.529999,65.779999,66.010002,2802200,65.28625
2016-05-25,66.059998,66.25,65.059998,66.010002,1278300,65.28625
2016-05-26,65.900002,66.309998,65.690002,65.989998,1150000,65.266465
2016-05-27,65.989998,66.82,65.879997,66.309998,1238300,65.582957
2016-05-31,66.309998,66.599998,65.830002,66.330002,1930100,65.602741
2016-06-01,66.220001,66.849998,66.059998,66.580002,1646900,65.85
2016-06-02,65.580002,66.0,65.129997,65.989998,1454400,65.989998
2016-06-03,66.650002,67.5,66.419998,67.279999,2835400,67.279999
